product_id,product_name,category,revenue,orders,avg_rating,avg_sentiment_score,negative_review_pct,return_rate_pct,top_issue
B07NTQNDK8,"WellnessMats Granite 3/4"" Polyurethane Anti Fatigue Floor Mat - Cushioned Comfort & Support for Home, Kitchen, Garage, Office Standing Desk - Non-Slip, Non-Toxic, Durable - 72"" x 24"" - Granite Copper",All Beauty,324.45,1,5.0,1.0,0.0,0.0,appearance
B087Q3VFZG,JulyQueen 165g Crochet Braiding Hair Grey Color Crochet Hair for Black Women Synthetic Hair Extension Fold Length 41 Inch 3 Pack,All Beauty,146.99,1,5.0,1.0,0.0,0.0,usability
B00LHZC4GA,"eb5 Collagen Boosting Serum, 1 fl.oz.",All Beauty,137.09,2,4.5,1.0,0.0,0.0,price
B09WSVFSGJ,Ultimate Essentials Kit,Premium Beauty,136.89,1,1.0,-1.0,100.0,0.0,general
B08Z3J6J56,"Wax Strips Hair Removal Ready-To-Use Waxing Strips for Body Bikini Brazilian Hair Removal Wax Strips, Women Men At ​Home Waxing Kit,12 Wax Strips+2 Wax Wipes (Pink)",All Beauty,134.94,1,4.0,1.0,0.0,100.0,usability
B09XX4VR4Y,"SOTICA Rotary Machine Pen Kit, Complete Makeup Pen Kit Professional Machine Pen Kit with 2Pcs Power Supply Machine Pen 40Pcs Cartridges Ink Caps Practice Skin and Machine Parts for Artist",All Beauty,131.66,1,5.0,1.0,0.0,0.0,price
B07DPKZPRH,PARWIN Infrared Flat Iron 1 1/4 Inch Digital Hair Straightener Iron with Ceramic Tourmaline Plate Temperature Control Hair Iron Christmas Gift Black,All Beauty,110.56,1,3.0,0.25,0.0,0.0,delivery
B08MPP4X5L,"2 Pack Soy Candles Gifts Set for Women, Lavender, Fir Scent, Hand Poured Aromatherapy Candle, Scented with Essential Oils, Each 8 oz",All Beauty,108.87,1,3.0,0.0,0.0,0.0,price
B015RR870U,"Herbivore - Natural Sea Mist Texturizing Salt Spray (Coconut, Travel Size 2 oz)",All Beauty,108.57,1,5.0,1.0,0.0,100.0,delivery
B07KQ32Z8C,"APIVITA Queen Bee Holistic Age Defense Night Cream 1.69 fl.oz. |Intensive Night Treatment That Speeds Skin Regeneration, Smooths Wrinkle & Increases Skin Elasticity with Royal Jelly & Hyaluronic Acid",Premium Beauty,106.83,2,3.5,0.38,0.0,0.0,usability
B0865H5R1X,UV Room Temperature Sterilizer.The Room Temperature Sterilization Cabinet Will not Damage the Product and is Suitable for Sterilization and Disinfection of Various Items.,All Beauty,105.36,1,5.0,1.0,0.0,0.0,general
B08BZ1RHPS,"MD Complete Bright & Healthy Vitamin C+ Vitalizing Face Serum| with Vitamin C, Vitamin E and Herbal Extracts | Potent Antioxidant Protection, Nourishes, Brightens and Evens Skin 0.5 fl oz",All Beauty,104.06,1,4.0,1.0,0.0,0.0,usability
B07LCHCD6Q,"Water Flosser Cordless Teeth Cleaner, SOOCAS Professional Oral Irrigator 230ML Portable and Rechargeable Water Dental Flosser with 3 Modes and 4 Jet Tips, IPX7 Waterproof, USB Charged for 30 Days Use",All Beauty,100.38,4,3.75,0.81,0.0,0.0,usability
B07GDQPG12,Spa Grade Jade Roller for Face with Gua Sha | Jade Face Roller Massager | Jade Facial Roller | Face Roller Massager | Jade Rollers | Wrinkle Roller,All Beauty,96.61,3,4.33,0.67,0.0,33.33,usability
B088D2ZCD5,"False Eyelashes with Eyeliner, Lash Glue Liner with Demi Wispy Lashes Pack Magic Eyeliner Pen Self-adhesive -No Glue No Magnet Needed-Strong Hold for Natural False Lashes",All Beauty,94.78,1,5.0,1.0,0.0,0.0,price
B000NHZSKC,Tea Tree Lemon Sage Thickening Liter Duo Set,Premium Beauty,93.72,1,5.0,1.0,0.0,0.0,quality
B01M7UMAUG,"Philips Sonicare Essence+ Gum Health & Airfloss Rechargeable Electric Flosser, Bundle Value Pack, HX8218/02",All Beauty,93.5,2,5.0,1.0,0.0,0.0,delivery
B07KG1TWP5,"Organic Bamboo Cotton Ear Swabs by Bali Boo - 200 - Natural Wooden Qtips Cotton Swabs for Cleaning Ears, Baby or Makeup and Nails - Sustainable & Vegan Buds Sticks - Eco Friendly & Biodegradable",All Beauty,93.04,3,4.0,0.58,33.33,0.0,usability
B08KHRF9NY,Calendula Soap With Coconut Oil Soap - Natural Body Soap | Best Body Bar For Dry & Sensitive Skin | Use As A Bath Soap & Face Pure Extracts (2.64 Ounce),All Beauty,91.85,1,5.0,1.0,0.0,0.0,usability
B07Z5C1KGR,"Bloomy Essentials Top 3 Organic Essential Oils Starter Set 10 mL (1/3 oz) - USDA Certified Organic - 100% Pure Lavender, Lemon and Peppermint",All Beauty,91.46,1,4.0,1.0,0.0,100.0,usability
B01IPP2036,"Alaffia - Coconut Reishi Body Balm, Non-Greasy Moisturizing Support Perfect for All Skin Types, Hair, and Beards with Shea Butter, Neem, Coconut, and Baobab Oil, Fair Trade, Lavender Coconut 1.5 Ounce",All Beauty,91.17,1,5.0,1.0,0.0,0.0,appearance
B0919R1CYT,Fragrantshare Makeup Brushes Professional Organizer Foundation Brush for Liquid makeup Travel 9Pcs Sets - Odorless Fiber Hair - Light Blue,All Beauty,89.7,1,4.0,1.0,0.0,0.0,delivery
B08F2RBJJ3,Frecia’s Allure Rose Quartz Face Roller Gua Sha Set – Brazilian Rose Quartz Gua Sha Stone Set with Neck & Face Sculpting Tool & Eye Massager Mini Facial Roller – 4-Tool Lymphatic Drainage Massager Set,All Beauty,88.69,1,5.0,1.0,0.0,0.0,price
B07RBSLNFR,"OGANA CELL Peptide Concentrating Amazing Lotion 2.03 fl.oz. (60ml) - 650ppm Peptide Contained Mild Moisturizing Facial Lotion, Hypoallergenic Natural Ingredients for Sensitive Skin",All Beauty,87.33,2,5.0,1.0,0.0,0.0,appearance
B082MTTFZD,"Wow the Crowd Eyelash Growth Serum for Full, Luscious, Long and Thick Lashes - Natural Formula (7mL), Clinically and Dermatologist Tested - Boost and Enhance Eyelashes and Brows",All Beauty,86.12,2,4.0,0.88,0.0,0.0,usability
B0788GCSVY,Younsolo Brazilian Deep Wave 3 Bundles (14 16 18) Brazilian Virgin Hair Extensions 100% Human Hair 8A Unprocessed Brazilian Virgin Human Hair Weave Natural Color Mixed Length Can Be Dyed and Bleached,All Beauty,83.36,1,3.0,0.0,0.0,0.0,appearance
B08H2KSHZZ,"CURECODE Neuromide Ampoule (30 ml), Concentrated Formula of Active Ingredients, Microbiome Science for Extremely Sensitive & Dry Skin, Repair and Protect Skin Barrier Function, Brightening and Firming for Mature Skin Types",All Beauty,82.74,3,4.33,0.83,0.0,0.0,usability
B01M1OFZOG,"Bed Head Curve Check Curling Wand for Tousled Waves and Texture, Jumbo Barrel",All Beauty,82.73,3,4.33,0.75,0.0,0.0,usability
B087D7MVHB,"2-Pack Puretize 16.9 Oz Hand Sanitizing Gel w/Pump Tops - Extra Strength 70% Ethyl Alcohol - Moisturizing Formula with Aloe Vera, Vitamin E & Botanical Extracts - Quick Drying Formula",All Beauty,82.62,3,4.67,1.0,0.0,0.0,usability
B01H1RGQGQ,Electronic Foot File Professional Pedicure Tools Foot Care Callus Remover for Dead Hard Cracked Skin on Feet Include 2 Mineral Pumice Stone Rollers and Massage Roller Head,All Beauty,82.29,1,5.0,1.0,0.0,0.0,general
B08JLXLJGS,"COLORROSE 3 Pcs Matte Liquid Lipstick Set, Waterproof Long Lasting Non-Stick Velvety Liquid Lip Gloss Beauty Cosmetics Set,Pigmented Lip Makeup Gift Sets for Girls and Women",All Beauty,79.39,1,4.0,0.75,0.0,0.0,price
B01KZNUGNC,Nail Polish， Misaky Art Template Stamp Stamping Painting Varnish Manicure Design (Black),All Beauty,78.17,1,5.0,1.0,0.0,0.0,appearance
B071JMGPTH,Royal Locks Curl Rescue Leave in Conditioner | Curly Hair Therapy | Keravis Ultra Conditioning Formula | 4 Oz,All Beauty,78.11,2,4.5,0.75,0.0,0.0,usability
B07S5GYK14,"Belifu Ionic Hair Straightener Brush Dual Voltage with Silicone Mat Pouch for Safe Storage, Straightening Comb Protect Sensitive Scalp, 30s Fast Ceramic Heating, Auto Off,with Comb Cleaner and Glove",All Beauty,75.98,1,5.0,1.0,0.0,0.0,price
B013VZRLB6,Contour Kit - Premium Bronzer and Contour Palette for Highlighting and Contouring All Skin Tones,All Beauty,75.58,1,3.0,0.25,0.0,100.0,usability
B08CXKJ7TQ,"Nail Rhinestone Picker, Dual-ended Nail Art Dotting Wax Pencil Pen Crystal Gems Beads Studs Picker Acrylic Handle with Two Replacement Wax Head Manicure Decoration Tool with Metal Storage Box",All Beauty,74.7,1,5.0,1.0,0.0,0.0,usability
B07J2QZBTP,"C.O. Bigelow No. 007 Dr Hiosous Quince Hand Lotion, 4 Ounces",All Beauty,74.51,3,5.0,0.92,0.0,0.0,general
B01DAFX3V4,Schwarzkopf Osis Refresh Dust Light Control 300ml,All Beauty,74.3,1,5.0,1.0,0.0,0.0,general
B07PDL9GRS,100% Real Human Hair Silk Base Top Hairpiece Clip in Hair Topper for Women Crown in Hand-made Toppee Middle Part with Thinning Hair Loss Hair #4 Medium Brown 12''20g,All Beauty,74.26,1,2.0,-0.25,100.0,100.0,appearance
B07T2L6JQR,Tea Tree Lemon Sage Thickening Liter Duo Set,Premium Beauty,73.38,1,5.0,1.0,0.0,0.0,general
B093VL2JQQ,10 PCS Women Headbands Elastic Soft Hair Bands Solid Color Non Slip Sweat Hair Wrap Yoga Sport Head Band for Girls,All Beauty,72.56,1,5.0,1.0,0.0,0.0,usability
B0B7MCJ618,"Parents Choice Fragrance Free Baby Wipes, 1200 Count (2 Pack)",All Beauty,70.43,1,5.0,1.0,0.0,0.0,general
B01KJPFO9W,"Lagunamoon Gel Nail Polish, Soak Off UV LED Nail Manicure Color Gel Polish Varnish Set 6PCS 8ML - Love Spectrum",All Beauty,70.19,1,4.0,1.0,0.0,0.0,quality
B01M5KNSQN,"NYX Eyebrow Shaper, 1 Count",All Beauty,69.9,1,1.0,-0.75,100.0,0.0,price
B0046BPTI2,"Hylunia Facial Day Lotion - 1.7 fl oz - Anti-Aging for Wrinkles - with Shea Butter, Hyaluronic Acid Serum, Zinc - Natural Vegan Moisturizer - Rapid Skin Repair",All Beauty,69.69,2,5.0,0.88,0.0,0.0,general
B01AONIWZM,"Drake's Devil Dogs, 95.41 oz, 7 Boxes",All Beauty,69.22,2,4.5,0.75,0.0,0.0,delivery
B07F8PCLDV,"Hair Straightener, Flat Iron for Hair Styling, 2 in 1 Hair Curling and Straightening Tool, Non-Damage Floating Ceramic Plates, Adjustable Temperature 300°F-450°F for All Hair Types and Lengths",All Beauty,69.12,1,4.0,1.0,0.0,0.0,usability
B08QRSNJW9,"3 Pcs Beauty Blender Makeup Sponge Gift Set,Lates Free Soft Beauty Foundation Blending Sponge with Beauty Blender Holder,Cleaner and Brush for Powder, Cream or Liquid",All Beauty,68.6,1,4.0,1.0,0.0,0.0,price
