customer_id,source_user_id,signup_date,region,age_group,acquisition_channel
C_1859714,AGKHLEW2SOWHNMFQIJGBECAF7INQ,2018-06-21,North,18-24,Organic
C_1297247,AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,2019-08-22,Central,35-44,Social
C_8561720,AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,2021-12-23,South,35-44,Organic
C_5846434,AGMJ3EMDVL6OWBJF7CA5RGJLXN5A,2020-06-14,West,35-44,Email
C_6241138,AHREXOGQPZDA6354MHH4ETSF3MCQ,2020-08-13,Central,25-34,Paid Search
C_3443107,AEYORY2AVPMCPDV57CE337YU5LXA,2021-06-04,West,25-34,Social
C_8120791,AFSKPY37N3C43SOI5IEXEK5JSIYA,2019-09-03,North,35-44,Paid Search
C_8744211,AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,2016-05-21,East,45-54,Organic
C_8624513,AHPUT3ITXCHQJO7OMF74LEMYHIVA,2018-06-15,North,35-44,Organic
C_5442208,AHGAOIZVODNHYMNCBV4DECZH42UQ,2019-04-12,South,18-24,Referral
C_6031039,AFGEM6BXCYHUILEOA3P2ZYBEF2TA,2019-03-17,South,35-44,Organic
C_0871699,AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,2019-08-31,North,25-34,Social
C_1123644,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,2021-02-17,South,18-24,Paid Search
C_6925480,AH6ZNRRCEEWR6P34CNLQ2LRLUU3Q,2019-01-05,Central,18-24,Email
C_6259726,AFZUK3MTBIBEDQOPAK3OATUOUKLA,2022-10-05,North,35-44,Organic
C_1863652,AFKNVFEXRGUGJAGMENCOWLVDYVCQ,2020-09-09,West,45-54,Referral
C_5274021,AHFURURV4H35BXUUTXYMJYA36CTQ,2018-07-21,West,25-34,Organic
C_1804124,AFETVW7S5M4LVJ7GTWPCKT7S3YBQ,2020-12-01,East,25-34,Email
C_1261882,AGF42GID7QWDCNFTJRCTMKAITJJA,2019-03-27,Central,18-24,Organic
C_9869715,AE5DIA2HDWBPNGBO2FXN2PF4NQJA,2021-03-04,Central,18-24,Referral
