order_id,customer_id,order_date,product_id,product_name,category,order_value,discount_pct,is_returned,ab_group,converted,retained_30d
O000001,C_1859714,2020-05-05,B00YQ6X8EO,"Herbivore - Natural Sea Mist Texturizing Salt Spray (Coconut, 8 oz)",All Beauty,29.62,0.07,0,control,1,1
O000002,C_1859714,2020-05-04,B081TJ8YS3,"All Natural Vegan Dry Shampoo Powder - Eco Friendly, Root Touch Up | Hair Powder Volumizer | For Brown Hair, Brunette and Dark Hair. (Brun + Application Brush) Two Goats Apothecary",All Beauty,55.37,0.06,0,control,0,1
O000003,C_1297247,2020-05-16,B097R46CSY,"New Road Beauty - Creamsicle - Variety 3 Pack Paraffin Wax - Peach, Vanilla & Mango - Moisturize and Smooths Skin - Nourishing and Provides Massage Therapy",All Beauty,18.62,0.19,0,treatment,1,0
O000004,C_8561720,2022-01-28,B09JS339BZ,"muaowig Ombre Body Wave Bundles 1B Grey Human Hair Bundles 8 10 12 inch Hair Weave Body Wave Brazilian Remy Hair Bundles Ombre Hair Extensions 3 Bundles By Muao,Grey Body Wave",All Beauty,14.0,0.12,1,control,1,0
O000005,C_8561720,2020-12-30,B08BZ63GMJ,"Yinhua Electric Nail Drill Kit Portable Professional Nail Drill Manicure Pen Shape Acrylic Nail Tools for Exfoliation Polishing with 6 Drill Bits and Sanding Bands for Home Salon (1 Set, green)",All Beauty,13.07,0.1,0,treatment,1,0
O000006,C_5846434,2020-08-27,B00R8DXL44,"China Glaze Nail Polish, Wanderlust 1381",All Beauty,6.86,0.0,0,treatment,1,1
O000007,C_6241138,2021-09-17,B099DRHW5V,"Disposable Facial Cotton Tissue, 100PCS Cotton Towels Face Cleansing Wipes for Sensitive Skin, Makeup Remover Washcloth Dry and Wet Use",All Beauty,9.78,0.1,0,control,0,0
O000008,C_3443107,2021-10-15,B08BBQ29N5,Niseyo new Faux Locs 24 Inch Crochet Hair 6 Packs 120 Strands Long Soft Ombre Natural Crochet Braids (24'' 6Pcs T27),All Beauty,7.17,0.18,0,treatment,1,0
O000009,C_8120791,2021-07-27,B08P2DZB4X,NIRA Skincare Laser & Serum Bundle - Includes Anti-Aging Laser & Hyaluronic Acid Serum - Reduces Appearance of Fine Lines & Wrinkles - FDA Cleared,All Beauty,22.43,0.0,0,control,1,1
O000010,C_8120791,2021-07-18,B086QY6T7N,"Caroline Keller Keratin Shampoo for dry and damaged hair and scalp. With Argan oil, Avocado oil Keratin and Vitamins. Specially formulated for Post Keratin Treatments. Salt Free. 16.9 fl.Oz",All Beauty,24.4,0.0,0,control,0,0
O000011,C_8120791,2021-07-13,B08DHTJ25J,"Orange Peel Nature's Cleanse Facial Scrub - by Visage Pure - USDA Organic - Physician Formulated - Research Supported - Natural Exfoliating, Refreshing, Brightening, Skin Tightening Vitamin C Scrub. Cleans the Pores Deeply and Refreshes the Skin Bringing Back Its Glow",All Beauty,13.61,0.06,0,control,0,0
O000012,C_8120791,2021-05-16,B07RBSLNFR,"OGANA CELL Peptide Concentrating Amazing Lotion 2.03 fl.oz. (60ml) - 650ppm Peptide Contained Mild Moisturizing Facial Lotion, Hypoallergenic Natural Ingredients for Sensitive Skin",All Beauty,63.75,0.08,0,control,1,0
O000013,C_8120791,2021-04-29,B07SLFWZKN,Keratin Secrets Do It Yourself Home Keratin System,All Beauty,39.81,0.14,0,treatment,1,0
O000014,C_8120791,2021-04-08,B08JTNQFZY,GAINWELL,All Beauty,23.4,0.0,0,treatment,1,1
